N;reward
1138;-nan
1139;-nan
1140;-nan
1141;-nan
1142;-nan
1143;-nan
1144;-nan
1145;-nan
1146;-nan
1147;-nan
1148;-nan
1149;-nan
1150;-nan
1151;-nan
1152;-nan
1153;-nan
1154;-nan
1155;-nan
1156;-nan
1157;-nan
1158;-nan
1159;-nan
1160;-nan
1161;-nan
1162;-nan
1163;-nan
1164;-nan
1165;-nan
1166;-nan
1167;-nan
1168;-nan
1169;-nan
1170;-nan
1171;-nan
1172;-nan
1173;-nan
1174;-nan
1175;-nan
1176;-nan
1177;-nan
1178;-nan
1179;-nan
1180;-nan
1181;-nan
1182;-nan
1183;-nan
1184;-nan
1185;-nan
1186;-nan
1187;-nan
1188;-nan
1189;-nan
1190;-nan
1191;-nan
1192;-nan
1193;-nan
1194;-nan
1195;-nan
1196;-nan
1197;-nan
1198;-nan
1199;-nan
1200;-nan
1201;-nan
1202;-nan
1203;-nan
1204;-nan
1205;-nan
1206;-nan
1207;-nan
1208;-nan
1209;-nan
1210;-nan
1211;-nan
1212;-nan
1213;-nan
1214;-nan
1215;-nan
1216;-nan
1217;-nan
1218;-nan
1219;-nan
1220;-nan
1221;-nan
1222;-nan
1223;-nan
1224;-nan
1225;-nan
1226;-nan
1227;-nan
1228;-nan
1229;-nan
1230;-nan
1231;-nan
1232;-nan
1233;-nan
1234;-nan
1235;-nan
1236;-nan
1237;-nan
1238;-nan
1239;-nan
1240;-nan
1241;-nan
1242;-nan
1243;-nan
1244;-nan
1245;-nan
1246;-nan
1247;-nan
1248;-nan
1249;-nan
1250;-nan
1251;-nan
1252;-nan
1253;-nan
1254;-nan
1255;-nan
1256;-nan
1257;-nan
1258;-nan
1259;-nan
1260;-nan
1261;-nan
1262;-nan
1263;-nan
1264;-nan
1265;-nan
1266;-nan
1267;-nan
1268;-nan
1269;-nan
1270;-nan
1271;-nan
1272;-nan
1273;-nan
1274;-nan
1275;-nan
1276;-nan
1277;-nan
1278;-nan
1279;-nan
1280;-nan
1281;-nan
1282;-nan
1283;-nan
1284;-nan
1285;-nan
1286;-nan
1287;-nan
1288;-nan
1289;-nan
1290;-nan
1291;-nan
1292;-nan
1293;-nan
1294;-nan
1295;-nan
1296;-nan
1297;-nan
1298;-nan
1299;-nan
1300;-nan
1301;-nan
1302;-nan
1303;-nan
1304;-nan
1305;-nan
1306;-nan
1307;-nan
1308;-nan
1309;-nan
1310;-nan
1311;-nan
1312;-nan
1313;-nan
1314;-nan
1315;-nan
1316;-nan
1317;-nan
1318;-nan
1319;-nan
1320;-nan
1321;-nan
1322;-nan
1323;-nan
1324;-nan
1325;-nan
1326;-nan
1327;-nan
1328;-nan
1329;-nan
1330;-nan
1331;-nan
1332;-nan
1333;-nan
1334;-nan
1335;-nan
1336;-nan
1337;-nan
1338;-nan
1339;-nan
1340;-nan
1341;-nan
1342;-nan
1343;-nan
1344;-nan
1345;-nan
1346;-nan
1347;-nan
1348;-nan
1349;-nan
1350;-nan
1351;-nan
1352;-nan
1353;-nan
1354;-nan
1355;-nan
1356;-nan
1357;-nan
1358;-nan
1359;-nan
1360;-nan
1361;-nan
1362;-nan
1363;-nan
1364;-nan
1365;-nan
1366;-nan
1367;-nan
1368;-nan
1369;-nan
1370;-nan
1371;-nan
1372;-nan
1373;-nan
1374;-nan
1375;-nan
1376;-nan
1377;-nan
1378;-nan
1379;-nan
1380;-nan
1381;-nan
1382;-nan
1383;-nan
1384;-nan
1385;-nan
1386;-nan
1387;-nan
1388;-nan
1389;-nan
1390;-nan
1391;-nan
1392;-nan
1393;-nan
1394;-nan
1395;-nan
1396;-nan
1397;-nan
1398;-nan
1399;-nan
1400;-nan
1401;-nan
1402;-nan
1403;-nan
1404;-nan
1405;-nan
1406;-nan
1407;-nan
1408;-nan
1409;-nan
1410;-nan
1411;-nan
1412;-nan
1413;-nan
1414;-nan
1415;-nan
1416;-nan
1417;-nan
1418;-nan
1419;-nan
1420;-nan
1421;-nan
1422;-nan
1423;-nan
1424;-nan
1425;-nan
1426;-nan
1427;-nan
1428;-nan
1429;-nan
1430;-nan
1431;-nan
1432;-nan
1433;-nan
1434;-nan
1435;-nan
1436;-nan
1437;-nan
1438;-nan
1439;-nan
1440;-nan
1441;-nan
1442;-nan
1443;-nan
1444;-nan
1445;-nan
1446;-nan
1447;-nan
1448;-nan
1449;-nan
1450;-nan
1451;-nan
1452;-nan
1453;-nan
1454;-nan
1455;-nan
1456;-nan
1457;-nan
1458;-nan
1459;-nan
1460;-nan
1461;-nan
1462;-nan
1463;-nan
1464;-nan
1465;-nan
1466;-nan
1467;-nan
1468;-nan
1469;-nan
1470;-nan
1471;-nan
1472;-nan
1473;-nan
1474;-nan
1475;-nan
1476;-nan
1477;-nan
1478;-nan
1479;-nan
1480;-nan
1481;-nan
1482;-nan
1483;-nan
1484;-nan
1485;-nan
1486;-nan
1487;-nan
1488;-nan
1489;-nan
1490;-nan
1491;-nan
1492;-nan
1493;-nan
1494;-nan
1495;-nan
1496;-nan
1497;-nan
1498;-nan
1499;-nan
1500;-nan
1501;-nan
1502;-nan
1503;-nan
1504;-nan
1505;-nan
1506;-nan
1507;-nan
1508;-nan
1509;-nan
1510;-nan
1511;-nan
1512;-nan
1513;-nan
1514;-nan
1515;-nan
1516;-nan
1517;-nan
1518;-nan
1519;-nan
1520;-nan
1521;-nan
1522;-nan
1523;-nan
1524;-nan
1525;-nan
1526;-nan
1527;-nan
1528;-nan
1529;-nan
1530;-nan
1531;-nan
1532;-nan
1533;-nan
1534;-nan
1535;-nan
1536;-nan
1537;-nan
1538;-nan
1539;-nan
1540;-nan
1541;-nan
1542;-nan
1543;-nan
1544;-nan
1545;-nan
1546;-nan
1547;-nan
1548;-nan
1549;-nan
1550;-nan
1551;-nan
1552;-nan
1553;-nan
1554;-nan
1555;-nan
1556;-nan
1557;-nan
1558;-nan
1559;-nan
1560;-nan
1561;-nan
1562;-nan
1563;-nan
1564;-nan
1565;-nan
1566;-nan
1567;-nan
1568;-nan
1569;-nan
1570;-nan
1571;-nan
1572;-nan
1573;-nan
1574;-nan
1575;-nan
1576;-nan
1577;-nan
1578;-nan
1579;-nan
1580;-nan
1581;-nan
1582;-nan
1583;-nan
1584;-nan
1585;-nan
1586;-nan
1587;-nan
1588;-nan
1589;-nan
1590;-nan
1591;-nan
1592;-nan
1593;-nan
1594;-nan
1595;-nan
1596;-nan
1597;-nan
1598;-nan
1599;-nan
1600;-nan
1601;-nan
1602;-nan
1603;-nan
1604;-nan
1605;-nan
1606;-nan
1607;-nan
1608;-nan
1609;-nan
1610;-nan
1611;-nan
1612;-nan
1613;-nan
1614;-nan
1615;-nan
1616;-nan
1617;-nan
1618;-nan
1619;-nan
1620;-nan
1621;-nan
1622;-nan
1623;-nan
1624;-nan
1625;-nan
1626;-nan
1627;-nan
1628;-nan
1629;-nan
1630;-nan
1631;-nan
1632;-nan
1633;-nan
1634;-nan
1635;-nan
1636;-nan
1637;-nan
1638;-nan
1639;-nan
1640;-nan
1641;-nan
1642;-nan
1643;-nan
1644;-nan
1645;-nan
1646;-nan
1647;-nan
1648;-nan
1649;-nan
1650;-nan
1651;-nan
1652;-nan
1653;-nan
1654;-nan
1655;-nan
1656;-nan
1657;-nan
1658;-nan
1659;-nan
1660;-nan
1661;-nan
1662;-nan
1663;-nan
1664;-nan
1665;-nan
1666;-nan
1667;-nan
1668;-nan
1669;-nan
1670;-nan
1671;-nan
1672;-nan
1673;-nan
1674;-nan
1675;-nan
1676;-nan
1677;-nan
1678;-nan
1679;-nan
1680;-nan
1681;-nan
1682;-nan
1683;-nan
1684;-nan
1685;-nan
1686;-nan
1687;-nan
1688;-nan
1689;-nan
1690;-nan
1691;-nan
1692;-nan
1693;-nan
1694;-nan
1695;-nan
1696;-nan
1697;-nan
1698;-nan
1699;-nan
1700;-nan
1701;-nan
1702;-nan
1703;-nan
1704;-nan
1705;-nan
1706;-nan
1707;-nan
1708;-nan
1709;-nan
1710;-nan
1711;-nan
1712;-nan
1713;-nan
1714;-nan
1715;-nan
1716;-nan
1717;-nan
1718;-nan
1719;-nan
1720;-nan
1721;-nan
1722;-nan
1723;-nan
1724;-nan
1725;-nan
1726;-nan
1727;-nan
1728;-nan
1729;-nan
1730;-nan
1731;-nan
1732;-nan
1733;-nan
1734;-nan
1735;-nan
1736;-nan
1737;-nan
1738;-nan
1739;-nan
1740;-nan
1741;-nan
1742;-nan
1743;-nan
1744;-nan
1745;-nan
1746;-nan
1747;-nan
1748;-nan
1749;-nan
1750;-nan
1751;-nan
1752;-nan
1753;-nan
1754;-nan
1755;-nan
1756;-nan
1757;-nan
1758;-nan
1759;-nan
1760;-nan
1761;-nan
1762;-nan
1763;-nan
1764;-nan
1765;-nan
1766;-nan
1767;-nan
1768;-nan
1769;-nan
1770;-nan
1771;-nan
1772;-nan
1773;-nan
1774;-nan
1775;-nan
1776;-nan
1777;-nan
1778;-nan
1779;-nan
1780;-nan
1781;-nan
1782;-nan
1783;-nan
1784;-nan
1785;-nan
1786;-nan
1787;-nan
1788;-nan
1789;-nan
1790;-nan
1791;-nan
1792;-nan
1793;-nan
1794;-nan
1795;-nan
1796;-nan
1797;-nan
1798;-nan
1799;-nan
1800;-nan
1801;-nan
1802;-nan
1803;-nan
1804;-nan
1805;-nan
1806;-nan
1807;-nan
1808;-nan
1809;-nan
1810;-nan
1811;-nan
1812;-nan
1813;-nan
1814;-nan
1815;-nan
1816;-nan
1817;-nan
1818;-nan
1819;-nan
1820;-nan
1821;-nan
1822;-nan
1823;-nan
1824;-nan
1825;-nan
1826;-nan
1827;-nan
1828;-nan
1829;-nan
1830;-nan
1831;-nan
1832;-nan
1833;-nan
1834;-nan
1835;-nan
1836;-nan
1837;-nan
1838;-nan
1839;-nan
1840;-nan
1841;-nan
1842;-nan
1843;-nan
1844;-nan
1845;-nan
1846;-nan
1847;-nan
1848;-nan
1849;-nan
1850;-nan
1851;-nan
1852;-nan
1853;-nan
1854;-nan
1855;-nan
1856;-nan
1857;-nan
1858;-nan
1859;-nan
1860;-nan
1861;-nan
1862;-nan
1863;-nan
1864;-nan
1865;-nan
1866;-nan
1867;-nan
1868;-nan
1869;-nan
1870;-nan
1871;-nan
1872;-nan
1873;-nan
1874;-nan
1875;-nan
1876;-nan
1877;-nan
1878;-nan
1879;-nan
1880;-nan
1881;-nan
1882;-nan
1883;-nan
1884;-nan
1885;-nan
1886;-nan
1887;-nan
1888;-nan
1889;-nan
1890;-nan
1891;-nan
1892;-nan
1893;-nan
1894;-nan
1895;-nan
1896;-nan
1897;-nan
1898;-nan
1899;-nan
1900;-nan
1901;-nan
1902;-nan
1903;-nan
1904;-nan
1905;-nan
1906;-nan
1907;-nan
1908;-nan
1909;-nan
1910;-nan
1911;-nan
1912;-nan
1913;-nan
1914;-nan
1915;-nan
1916;-nan
1917;-nan
1918;-nan
1919;-nan
1920;-nan
1921;-nan
1922;-nan
1923;-nan
1924;-nan
1925;-nan
1926;-nan
1927;-nan
1928;-nan
1929;-nan
1930;-nan
1931;-nan
1932;-nan
1933;-nan
1934;-nan
1935;-nan
1936;-nan
1937;-nan
1938;-nan
1939;-nan
1940;-nan
1941;-nan
1942;-nan
1943;-nan
1944;-nan
1945;-nan
1946;-nan
1947;-nan
1948;-nan
1949;-nan
1950;-nan
1951;-nan
1952;-nan
1953;-nan
1954;-nan
1955;-nan
1956;-nan
1957;-nan
1958;-nan
1959;-nan
1960;-nan
1961;-nan
1962;-nan
1963;-nan
1964;-nan
1965;-nan
1966;-nan
1967;-nan
1968;-nan
1969;-nan
1970;-nan
1971;-nan
1972;-nan
1973;-nan
1974;-nan
1975;-nan
1976;-nan
1977;-nan
1978;-nan
1979;-nan
1980;-nan
1981;-nan
1982;-nan
1983;-nan
1984;-nan
1985;-nan
1986;-nan
1987;-nan
1988;-nan
1989;-nan
1990;-nan
1991;-nan
1992;-nan
1993;-nan
1994;-nan
1995;-nan
1996;-nan
1997;-nan
1998;-nan
1999;-nan
2000;-nan
2001;-nan
2002;-nan
2003;-nan
2004;-nan
2005;-nan
2006;-nan
2007;-nan
2008;-nan
2009;-nan
2010;-nan
2011;-nan
2012;-nan
2013;-nan
2014;-nan
2015;-nan
2016;-nan
2017;-nan
2018;-nan
2019;-nan
2020;-nan
2021;-nan
2022;-nan
2023;-nan
2024;-nan
2025;-nan
2026;-nan
2027;-nan
2028;-nan
2029;-nan
2030;-nan
2031;-nan
2032;-nan
2033;-nan
2034;-nan
2035;-nan
2036;-nan
2037;-nan
2038;-nan
2039;-nan
2040;-nan
2041;-nan
2042;-nan
2043;-nan
2044;-nan
2045;-nan
2046;-nan
2047;-nan
2048;-nan
2049;-nan
2050;-nan
2051;-nan
2052;-nan
2053;-nan
2054;-nan
2055;-nan
2056;-nan
2057;-nan
2058;-nan
2059;-nan
2060;-nan
2061;-nan
2062;-nan
2063;-nan
2064;-nan
2065;-nan
2066;-nan
2067;-nan
2068;-nan
2069;-nan
2070;-nan
2071;-nan
2072;-nan
2073;-nan
2074;-nan
2075;-nan
2076;-nan
2077;-nan
2078;-nan
2079;-nan
2080;-nan
2081;-nan
2082;-nan
2083;-nan
2084;-nan
2085;-nan
2086;-nan
2087;-nan
2088;-nan
2089;-nan
2090;-nan
2091;-nan
2092;-nan
2093;-nan
2094;-nan
2095;-nan
2096;-nan
2097;-nan
2098;-nan
2099;-nan
2100;-nan
2101;-nan
2102;-nan
2103;-nan
2104;-nan
2105;-nan
2106;-nan
2107;-nan
2108;-nan
2109;-nan
2110;-nan
2111;-nan
2112;-nan
2113;-nan
2114;-nan
2115;-nan
2116;-nan
2117;-nan
2118;-nan
2119;-nan
2120;-nan
2121;-nan
2122;-nan
2123;-nan
2124;-nan
2125;-nan
